,Location,Total sqft,price,bedrooms
818,Diva Gaon,350,980000.0000000001,1.0
819,Diva Gaon,465,1302000.0,1.0
820,Andheri West,651,2000000.0,1.0
822,Andheri West,651,2000000.0,1.0
824,Andheri West,651,2000000.0,1.0
825,Andheri West,651,2000000.0,1.0
826,Thakurli,965,6550000.0,2.0
828,Andheri West,651,2000000.0,1.0
832,Andheri West,651,2000000.0,1.0
833,Andheri West,651,2000000.0,1.0
835,Andheri West,651,2000000.0,1.0
837,Ambernath West,1000,4000000.0,2.0
839,Santacruz West,2000,120000000.0,4.0
840,Powai,310,7500000.0,1.0
842,Andheri West,651,2000000.0,1.0
843,Kalyan West,650,4100000.0,1.0
845,Byculla,1400,50000000.0,2.0
846,Juhu,2400,190000000.0,4.0
847,Dombivli (West),545,3050000.0,1.0
848,Mira Road East,1020,8500000.0,2.0
849,Mira Road East,1020,11600000.0,2.0
850,Mira Road East,1070,9500000.0,2.0
851,Mira Road East,1020,9600000.0,2.0
852,Mira Road East,680,6500000.0,1.0
853,Mira Road East,1020,11500000.0,2.0
854,Mira Road East,1070,8900000.0,2.0
855,Mira Road East,1070,9500000.0,2.0
856,Mira Road East,1050,9000000.0,2.0
857,Santacruz East,900,19500000.0,2.0
858,Khar West,1200,37500000.0,3.0
859,Thane West,1350,10000000.0,3.0
860,Andheri West,651,2000000.0,1.0
862,Virar,510,3600000.0,1.0
863,Bhayandar West,760,9000000.0,1.0
864,Panvel,2500,15000000.0,4.0
865,Andheri West,651,2000000.0,1.0
867,Andheri West,651,2000000.0,1.0
868,Andheri West,651,2000000.0,1.0
869,Thakurli,965,6550000.0,2.0
870,Dombivali,630,3400000.0,1.0
871,Malad West,900,16000000.0,2.0
872,Kandivali East,719,18700000.0,2.0
873,Kurla,780,9400000.0,1.0
874,Santacruz West,1400,62500000.0,3.0
875,other,410,6998999.999999999,1.0
876,Powai,1050,17000000.0,2.0
877,other,500,2045000.0,1.0
878,Panvel,1024,9500000.0,2.0
879,Andheri West,540,12600000.0,1.0
880,Panvel,1200,9500000.0,2.0
881,Dombivli (West),712,4272000.0,1.0
882,Thane West,665,7200000.0,2.0
883,Ghatkopar West,1000,13500000.0,2.0
884,Kalamboli,1975,14800000.0,3.0
885,Andheri West,651,2000000.0,1.0
